no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests,booking_status
2,0,0,5,Meal Plan 1,0,Room_Type 1,2018,3,29,Offline,0,0,0,1,Not_Canceled
2,2,0,2,Meal Plan 1,0,Room_Type 6,2018,4,1,Online,0,0,0,0,Canceled
2,0,0,5,Meal Plan 1,0,Room_Type 4,2018,10,11,Online,0,0,0,0,Canceled
2,0,2,0,Not Selected,0,Room_Type 1,2018,12,25,Online,0,0,0,2,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,2018,3,14,Online,0,0,0,0,Not_Canceled
2,0,1,2,Meal Plan 1,1,Room_Type 4,2018,3,4,Online,0,0,0,1,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,2018,10,17,Online,0,0,0,2,Not_Canceled
2,0,2,3,Not Selected,0,Room_Type 1,2018,9,4,Online,0,0,0,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,2018,6,15,Online,0,0,0,0,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,2018,12,10,Online,1,0,5,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 5,2018,8,9,Offline,0,0,0,0,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,2018,5,5,Online,0,0,0,1,Not_Canceled
2,0,1,2,Meal Plan 1,1,Room_Type 1,2018,3,18,Online,0,0,0,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,2018,4,9,Online,0,0,0,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,2018,5,19,Online,0,0,0,1,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,2018,8,30,Online,0,0,0,0,Canceled
2,1,0,2,Meal Plan 1,1,Room_Type 1,2018,8,4,Online,0,0,0,2,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,2018,8,18,Online,0,0,0,1,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,2018,4,13,Online,0,0,0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,11,17,Online,0,0,0,1,Not_Canceled
2,2,1,3,Meal Plan 1,0,Room_Type 6,2018,12,22,Online,0,0,0,0,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,2018,10,23,Online,0,0,0,2,Not_Canceled
3,0,1,2,Meal Plan 1,0,Room_Type 4,2018,5,13,Online,0,0,0,2,Not_Canceled
1,0,0,4,Meal Plan 1,0,Room_Type 1,2018,12,13,Online,0,0,0,2,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2017,10,31,Online,0,0,0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2017,10,8,Online,0,0,0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,2,16,Offline,0,0,0,0,Not_Canceled
2,0,1,4,Meal Plan 1,1,Room_Type 1,2017,11,2,Online,0,0,0,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,2017,9,21,Online,0,0,0,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,2018,6,30,Online,0,0,0,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,2017,9,5,Online,0,0,0,3,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,9,30,Online,0,0,0,2,Canceled
2,0,1,0,Not Selected,0,Room_Type 1,2018,6,27,Online,0,0,0,1,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,2018,6,16,Online,0,0,0,2,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,2018,6,30,Online,0,0,0,1,Not_Canceled
2,2,2,2,Meal Plan 1,0,Room_Type 2,2018,6,26,Online,0,0,0,1,Canceled
3,0,2,2,Meal Plan 1,1,Room_Type 4,2018,8,13,Online,0,0,0,1,Not_Canceled
3,0,2,5,Meal Plan 1,0,Room_Type 4,2018,4,22,Online,0,0,0,0,Canceled
2,1,2,5,Meal Plan 1,0,Room_Type 1,2018,11,12,Online,0,0,0,3,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2018,4,29,Online,0,0,0,0,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,2017,11,14,Online,0,0,0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,9,1,Online,0,0,0,1,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,2018,9,16,Offline,0,0,0,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,2018,3,10,Online,0,0,0,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,5,5,Online,0,0,0,0,Not_Canceled
3,0,2,0,Meal Plan 1,0,Room_Type 4,2018,4,24,Online,0,0,0,2,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,3,30,Offline,0,0,0,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2018,11,3,Online,0,0,0,1,Canceled
2,2,0,2,Meal Plan 1,0,Room_Type 6,2018,10,14,Online,0,0,0,0,Canceled
1,0,2,3,Meal Plan 1,0,Room_Type 1,2018,6,5,Offline,0,0,0,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,2018,7,13,Online,0,0,0,1,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,2018,10,20,Online,0,0,0,2,Not_Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,2018,10,17,Online,0,0,0,2,Not_Canceled
2,0,2,4,Not Selected,0,Room_Type 1,2018,12,28,Online,0,0,0,2,Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,2017,10,19,Offline,0,0,0,0,Not_Canceled
1,0,0,4,Not Selected,0,Room_Type 1,2018,3,29,Online,0,0,0,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,2017,10,9,Online,0,0,0,2,Not_Canceled
2,1,1,0,Meal Plan 1,0,Room_Type 1,2018,7,25,Online,0,0,0,2,Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,2018,6,28,Online,0,0,0,2,Not_Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 1,2018,5,22,Online,0,0,0,0,Not_Canceled
3,0,2,4,Meal Plan 1,0,Room_Type 4,2018,4,15,Online,0,0,0,0,Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,2018,5,9,Offline,0,0,0,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,6,17,Online,0,0,0,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,11,18,Online,0,0,0,1,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,2018,10,30,Online,0,0,0,2,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,2018,3,28,Online,0,0,0,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,2018,6,1,Complementary,1,3,5,1,Not_Canceled
2,0,0,4,Not Selected,0,Room_Type 1,2018,5,4,Online,0,0,0,1,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,2018,4,8,Online,0,0,0,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2018,6,8,Offline,0,0,0,0,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 4,2018,4,7,Online,0,0,0,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,2018,5,2,Online,0,0,0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,2018,9,29,Online,0,0,0,2,Canceled
2,0,1,3,Not Selected,0,Room_Type 1,2018,4,4,Online,0,0,0,1,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,2017,7,17,Online,0,0,0,0,Canceled
2,0,0,1,Meal Plan 2,0,Room_Type 1,2018,4,6,Offline,0,0,0,0,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,2018,11,1,Corporate,1,1,5,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,2018,5,24,Online,0,0,0,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,2,17,Offline,0,0,0,0,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,2018,4,14,Online,0,0,0,0,Canceled
2,0,1,0,Not Selected,0,Room_Type 1,2018,6,5,Online,0,0,0,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,2018,11,12,Online,0,0,0,2,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,2018,4,17,Online,0,0,0,1,Not_Canceled
3,0,2,2,Meal Plan 1,0,Room_Type 7,2018,10,7,Online,0,0,0,1,Not_Canceled
2,0,1,1,Not Selected,0,Room_Type 1,2018,8,1,Online,0,0,0,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,7,12,Online,0,0,0,2,Not_Canceled
1,0,2,1,Meal Plan 2,0,Room_Type 1,2018,1,2,Online,0,0,0,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,2018,6,15,Online,0,0,0,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,2018,11,16,Online,0,0,0,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,2018,9,19,Online,0,0,0,0,Canceled
2,1,1,0,Not Selected,0,Room_Type 1,2017,9,13,Online,0,0,0,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,9,15,Online,0,0,0,0,Canceled
2,0,1,2,Not Selected,0,Room_Type 1,2018,12,16,Online,0,0,0,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,2018,6,30,Online,0,0,0,1,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,2018,10,18,Online,0,0,0,1,Not_Canceled
2,1,0,1,Meal Plan 1,0,Room_Type 1,2018,11,5,Online,0,0,0,1,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,2018,3,22,Online,0,0,0,0,Not_Canceled
2,0,1,4,Not Selected,0,Room_Type 1,2018,8,17,Online,0,0,0,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,5,20,Offline,0,0,0,0,Not_Canceled
1,1,2,5,Not Selected,0,Room_Type 1,2017,10,24,Online,0,0,0,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,2018,7,21,Online,0,0,0,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2017,9,9,Online,0,0,0,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,2018,3,31,Online,0,0,0,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,2018,10,11,Online,0,0,0,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 4,2018,4,2,Online,0,0,0,1,Not_Canceled
2,0,1,5,Meal Plan 1,0,Room_Type 1,2018,8,22,Online,0,0,0,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,2018,5,13,Online,0,0,0,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,2018,8,8,Offline,0,0,0,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,2018,8,15,Online,0,0,0,0,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,2018,8,19,Online,0,0,0,0,Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 4,2018,11,6,Online,0,0,0,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,2018,10,10,Online,0,0,0,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2018,10,6,Online,0,0,0,0,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,2018,4,6,Online,0,0,0,0,Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,2018,3,25,Online,0,0,0,0,Canceled
2,0,4,10,Meal Plan 1,0,Room_Type 4,2018,8,3,Online,0,0,0,1,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,2018,5,30,Offline,0,0,0,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2017,9,11,Corporate,0,0,0,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,2018,3,20,Offline,0,0,0,0,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,2018,3,23,Offline,0,0,0,2,Not_Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,2018,9,26,Online,0,0,0,0,Canceled
2,0,1,4,Not Selected,0,Room_Type 1,2018,8,24,Online,0,0,0,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2017,7,16,Online,0,0,0,1,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,2018,12,16,Online,0,0,0,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,2018,5,13,Online,0,0,0,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,2018,11,19,Offline,0,0,0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,9,8,Online,0,0,0,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,2018,5,2,Online,0,0,0,1,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,2018,8,21,Offline,0,0,0,0,Not_Canceled
2,0,2,4,Meal Plan 1,0,Room_Type 1,2018,12,3,Online,0,0,0,0,Not_Canceled
1,0,0,0,Meal Plan 1,0,Room_Type 1,2018,2,27,Complementary,0,0,0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2017,9,22,Online,0,0,0,1,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,2018,7,18,Offline,0,0,0,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2017,9,22,Online,0,0,0,2,Not_Canceled
3,0,2,1,Meal Plan 1,0,Room_Type 1,2018,8,13,Online,0,0,0,1,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,2018,8,13,Online,0,0,0,1,Not_Canceled
1,0,1,1,Not Selected,0,Room_Type 1,2018,12,5,Online,0,0,0,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2017,10,15,Online,0,0,0,2,Not_Canceled
2,1,2,5,Meal Plan 1,0,Room_Type 4,2018,3,20,Online,0,0,0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,10,13,Offline,0,0,0,1,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,2017,8,22,Online,0,0,0,0,Not_Canceled
1,0,0,2,Not Selected,0,Room_Type 1,2018,6,8,Online,0,0,0,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2018,3,1,Offline,0,0,0,0,Not_Canceled
2,0,1,5,Meal Plan 1,0,Room_Type 1,2018,9,5,Online,0,0,0,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,6,10,Offline,0,0,0,1,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,2018,4,14,Online,0,0,0,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,4,1,Online,0,0,0,1,Not_Canceled
2,2,2,2,Meal Plan 1,0,Room_Type 6,2018,5,27,Online,0,0,0,1,Canceled
1,2,2,2,Meal Plan 1,0,Room_Type 6,2017,9,19,Online,0,0,0,2,Not_Canceled
2,1,0,2,Meal Plan 1,0,Room_Type 1,2018,3,18,Online,0,0,0,1,Not_Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,2018,2,5,Online,0,0,0,0,Canceled
3,0,1,1,Meal Plan 1,0,Room_Type 4,2018,5,7,Online,0,0,0,0,Canceled
2,1,1,3,Meal Plan 1,0,Room_Type 1,2018,5,12,Online,0,0,0,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,2018,10,28,Offline,0,0,0,0,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,2017,10,18,Online,0,0,0,0,Not_Canceled
2,1,0,1,Meal Plan 1,1,Room_Type 1,2018,6,21,Online,0,0,0,1,Not_Canceled
2,0,2,6,Not Selected,0,Room_Type 1,2017,8,14,Online,0,0,0,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 5,2018,4,29,Online,0,0,0,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,2018,12,26,Online,0,0,0,0,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,2018,12,2,Online,0,0,0,2,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,2018,4,24,Online,0,0,0,0,Canceled
2,0,2,4,Not Selected,0,Room_Type 1,2018,6,16,Online,0,0,0,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,2017,10,9,Online,0,0,0,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2017,9,3,Online,0,0,0,0,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,2018,9,14,Corporate,0,0,0,1,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,2018,2,8,Online,0,0,0,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,2017,10,2,Offline,0,0,0,0,Not_Canceled
2,0,0,3,Meal Plan 1,1,Room_Type 1,2018,3,24,Online,0,0,0,1,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 4,2018,5,31,Online,0,0,0,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,2018,8,15,Online,0,0,0,0,Canceled
1,0,1,3,Meal Plan 1,0,Room_Type 1,2017,11,9,Online,0,0,0,1,Not_Canceled
3,0,2,1,Meal Plan 1,0,Room_Type 4,2018,8,13,Online,0,0,0,1,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,2017,10,2,Offline,0,0,0,0,Not_Canceled
2,0,0,4,Not Selected,0,Room_Type 1,2018,7,26,Online,0,0,0,1,Canceled
2,0,1,1,Not Selected,0,Room_Type 1,2018,5,21,Offline,0,0,0,0,Not_Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 4,2018,9,7,Online,0,0,0,0,Not_Canceled
2,0,2,4,Not Selected,0,Room_Type 1,2017,11,15,Online,0,0,0,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2017,9,16,Online,0,0,0,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,2017,10,16,Online,0,0,0,0,Canceled
2,0,0,3,Not Selected,0,Room_Type 1,2018,10,18,Online,0,0,0,1,Not_Canceled
3,0,2,3,Meal Plan 2,0,Room_Type 4,2018,7,23,Online,0,0,0,1,Not_Canceled
3,0,1,1,Meal Plan 1,0,Room_Type 4,2018,6,11,Online,0,0,0,3,Not_Canceled
2,0,1,1,Not Selected,0,Room_Type 1,2018,1,16,Online,0,0,0,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,2017,9,14,Online,0,0,0,1,Not_Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 1,2018,11,6,Online,0,0,0,1,Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,2018,10,15,Online,0,0,0,0,Canceled
